% HMDB reference range library						
"% HMDB was downloaded in Jan 2015. It was then parsed for all metabolites,"						
% their corresponding biofluid and concentration ranges for normal						
% conditions.						
"% if multiple data were available, their were combined to one range taking"						
% the highest and lowest reported value. For values were only means and the						
% std was given the range was calculated by assume 2 stds. We did not						
% discriminate between the sexes for these ranges as data were too sparse						
% and would require review of the original papers.						
% Parsed_hmdbConc.xlsx						
% ################						
HMDB ID	VMH ID	Compartment	Condition	unit	translated range - min	translated range - max
HMDB00588	na1	Urine	Normal	umol/mmolcreatinine	1863.49	37249.07
HMDB00023	3hmp	Urine	Normal	umol/mmolcreatinine	2	59.8
HMDB00230	acnam	Urine	Normal	umol/mmolcreatinine	2.5	11.76
HMDB00510	L2aadp	Urine	Normal	umol/mmolcreatinine	2.5	16.4
HMDB00149	etha	Urine	Normal	umol/mmolcreatinine	4.91	56.2
HMDB00492	cl	Urine	Normal	umol/mmolcreatinine	5263.2	17763.2
HMDB00586	k	Urine	Normal	umol/mmolcreatinine	553.33	8078.58
HMDB00174	fuc_L	Urine	Normal	umol/mmolcreatinine	6.38	26
HMDB00294	urea	Urine	Normal	umol/mmolcreatinine	6.579	38812.4
HMDB00051	nh4	Urine	Normal	umol/mmolcreatinine	724	4704
HMDB00663	glcr	Urine	Normal	umol/mmolcreatinine	0	14.97
HMDB00500	4hbz	Urine	Normal	umol/mmolcreatinine	0	29
HMDB00005	2obut	Urine	Normal	umol/mmolcreatinine	0.04	5.4
HMDB00730	CE4969	Urine	Normal	umol/mmolcreatinine	0.5	3.8
HMDB00229	nmn	Urine	Normal	umol/mmolcreatinine	66.67	600
HMDB00269	sphgn	Urine	Normal	umol/mmolcreatinine	0	0.00063
HMDB00145	estrone	Urine	Normal	umol/mmolcreatinine	0	0.003
HMDB00343	C05298	Urine	Normal	umol/mmolcreatinine	0	0.0041
HMDB00338	C05301	Urine	Normal	umol/mmolcreatinine	0	0.0044
HMDB00879	CE5072	Urine	Normal	umol/mmolcreatinine	0	0.064
HMDB00053	andrstndn	Urine	Normal	umol/mmolcreatinine	0	0.206
HMDB00352	eandrstrn	Urine	Normal	umol/mmolcreatinine	0	0.83
HMDB00252	sphings	Urine	Normal	umol/mmolcreatinine	0.0000375	0.00003947
HMDB00374	17ahprgstrn	Urine	Normal	umol/mmolcreatinine	0.00078	0.00182
HMDB00010	C05299	Urine	Normal	umol/mmolcreatinine	0.004	0.006
HMDB00015	11docrtsl	Urine	Normal	umol/mmolcreatinine	0.0091	178.9
HMDB00077	dhea	Urine	Normal	umol/mmolcreatinine	0.016	0.244
HMDB00490	ahandrostan	Urine	Normal	umol/mmolcreatinine	0.11	0.67
HMDB01186	N1sprm	Urine	Normal	umol/mmolcreatinine	0	0.08
HMDB00791	c8crn	Urine	Normal	umol/mmolcreatinine	0.03	0.09
HMDB00626	dchac	Urine	Normal	umol/mmolcreatinine	0.05	0.06
HMDB12108	pcholhep_hs	Urine	Normal	umol/mmolcreatinine	0.0008	0.0087
HMDB10384 	pcholste_hs	Urine	Normal	umol/mmolcreatinine	0.0013	0.01
HMDB10396	pcholn204_hs	Urine	Normal	umol/mmolcreatinine	0.0005	0.0038
