cid	name	dG'0	pH	I	pMg	T	decompose	compound_ref	remark
620	alpha-D-Ribose 1-phosphate	-1224.3	7	0.25	14	298.15	1	Alberty (2006)	
631	2-Phospho-D-glycerate	-1340.7	7	0.25	14	298.15	1	Alberty (2006)	
636	D-Mannose 1-phosphate	-1309.7	7	0.25	14	298.15	1	Alberty (2006)	
644	D-Mannitol 1-phosphate	-1267.4	7	0.25	14	298.15	1	Alberty (2006)	
673	2-Deoxy-D-ribose 5-phosphate	-1084.6	7	0.25	14	298.15	1	Alberty (2006)	
697	Nitrogen	18.7	7	0.25	14	298.15	0	Alberty (2006)	
791	Creatinine	261.9	7	0.25	14	298.15	1	Alberty (2006)	
794	D-Sorbitol	-375.9	7	0.25	14	298.15	1	Alberty (2006)	
849	Ethyl acetate	-11.7	7	0.25	14	298.15	1	Alberty (2006)	
887	Nitrous oxide	104.2	7	0.25	14	298.15	0	Alberty (2006)	
1005	O-Phospho-L-serine	-1119.8	7	0.25	14	298.15	1	Alberty (2006)	
1013	3-Hydroxypropanoate	-315.5	7	0.25	14	298.15	1	Alberty (2006)	
1083	alpha,alpha-Trehalose	-686.4	7	0.25	14	298.15	1	Alberty (2006)	
1096	Sorbitol 6-phosphate	-1266.9	7	0.25	14	298.15	1	Alberty (2006)	
1112	D-Arabinose 5-phosphate	-1235	7	0.25	14	298.15	1	Alberty (2006)	
1113	D-Galactose 6-phosphate	-1312	7	0.25	14	298.15	1	Alberty (2006)	
1127	4-Hydroxy-2-oxoglutarate	-812	7	0.25	14	298.15	1	Alberty (2006)	
1236	D-Glucono-1,5-lactone 6-phosphate	-1382.8	7	0.25	14	298.15	1	Alberty (2006)	
1326	Hydrogen cyanide	160.3	7	0.25	14	298.15	0	Wagman (1982)	
1342	NH4+	82.8	7	0.25	14	298.15	0	Alberty (2006)	
1384	Maleic acid	-513.8	7	0.25	14	298.15	1	Alberty (2006)	
1412	Butanal	196.1	7	0.25	14	298.15	1	Alberty (2006)	
1417	Cyanate	-98.2	7	0.25	14	298.15	0	Alberty (2006)	
1438	Methane	128.6	7	0.25	14	298.15	0	Alberty (2006)	
