TranslatedMetabolite	VMHmetabolite
cpd02612	acmanap
cpd02613	nanadmhis
cpd02616	dtdp4addg
cpd02625	1p3h5c
cpd02626	1p4h2cbxl
cpd02627	dpornsdtp
cpd02631	dkdi
cpd02636	4mhetz
cpd02637	C04295
cpd02638	cdp4dh36ddglc
cpd02642	pran
cpd02645	p4d3tetrlsnt
cpd02646	12dhnp12d
cpd02648	1hchxn1ylaccoa
cpd02650	11od17odeacvind
cpd02651	34dh2hprl2c
cpd02653	4c2hcism
cpd02654	4mpetz
cpd02655	mtth4mpt
cpd02656	dmlz
cpd02658	bocbnleu
cpd02662	malylcoa
cpd02665	r2mn1pol
cpd02666	4ppcys
cpd02668	12glcglcur
cpd02675	3m2mcptmp
cpd02678	fgam
cpd02679	mtethnpn
cpd02684	f3o6mbglsd
cpd02685	n6all26d
cpd02688	m3p1tglycrt
cpd02691	3hmbcoa
cpd02692	cmusa
cpd02693	3c2hmp
cpd02695	M00040
cpd02698	sl26da
cpd02700	2mpdhl
cpd02701	amob
cpd02702	udpagal4s
cpd02705	cmbtold
cpd02708	2miphd
cpd02711	2ddg6p
cpd02712	3omqrctn
cpd02714	34dhtm3c
cpd02715	334dhpyrylala
cpd02717	4chhddnt
cpd02720	5aprbu
cpd02721	d5kgp
cpd02724	sl2a6o
cpd02729	mi1346p
cpd02730	kdo8p
cpd02731	hkndd
cpd02732	3c2hmsal
cpd02733	dchac
cpd02734	4c2hmsaldh
cpd02737	mh4mpt
cpd02738	5mthglu
cpd02740	gdptp
cpd02743	nabggpptd
cpd02744	npgnemp
cpd02745	adgaldpundcrnl
cpd02746	decdp
cpd02749	agphchln
cpd02753	2c25dh5of2a
cpd02754	2pcphlrgcxl
cpd02755	fcstrl
cpd02760	6pgg
cpd02762	mppp9mme
cpd02763	M02513
cpd02767	3hbbut
cpd02769	14hphe2maoh
cpd02774	dheas
cpd02775	4ampm
cpd02776	3mmlctn
cpd02777	4mmlctn
cpd02782	udpagaurnt
cpd02784	23doguln
cpd02787	16mo23dh3htsn
cpd02791	5mdru1p
cpd02796	udpagal46bs
cpd02797	sn3oggnglyc1p
cpd02799	micit
cpd02803	2ac1asngpc
cpd02804	mptp
cpd02805	3h2m45dc
cpd02807	a7obglsd
cpd02812	eicit_D
cpd02817	cob
cpd02820	uaccg
cpd02821	dhchd1c
cpd02824	23boggnglyc1p
cpd02826	fpram
cpd02828	5cmhmsa
cpd02832	6ti5mp
cpd02835	u23ga
cpd02843	eig3p
cpd02846	M00077
cpd02847	M00029
cpd02848	3dgdsbssmn
cpd02849	3hgcoa
cpd02851	aicar
cpd02856	2hm3amlsucc
cpd02857	2dda7p
cpd02858	M00043
cpd02859	M00042
cpd02860	m2fucgal
cpd02861	udpacmaadglys
cpd02862	uGgla
cpd02864	c2chdlac
cpd02870	ipntnlamp
cpd02873	13shpoddnt
cpd02880	t2chdlac
cpd02881	1m4phthpyro
cpd02882	4r5au
cpd02884	fprica
cpd02885	thside
cpd02886	u3aga
cpd02887	udpa6g1pdglcmn
cpd02890	hctectnt
cpd02893	5aizc
cpd02894	2mahmp
cpd02901	5pyrdxt
cpd02902	dgbgalbgr
cpd02904	5prdmbz
cpd02905	M00025
cpd02907	M00076
cpd02918	C04805
cpd02920	6hmhptpp
cpd02921	25aics
cpd02926	M00050
cpd02930	lipidX
cpd02935	comSScob
cpd02942	galacglcgalgluside_hs
cpd02948	uaGgla
cpd02952	M00051
cpd02957	M00037
cpd02961	dhnpt
cpd02964	ugmd
cpd02967	acbdma14gapuc
cpd02968	ugmda
cpd02970	acnamgalgalamR
cpd02972	M00059
cpd02978	ahdt
cpd02979	prfp
cpd02981	M00082
cpd02991	prlp
cpd02993	lipidA
cpd02996	M00064
cpd02998	acnamgalacnamgalamR
cpd02999	gd1a_hs
cpd03002	lipidAds
cpd03034	3uib
cpd03043	3hbnlcoa
cpd03047	tchola
cpd03048	isetac
cpd03049	hethmpp
cpd03052	im4act
cpd03055	imidznact
cpd03058	17ahprgnlone
cpd03059	eandrstrn
cpd03060	4aaold
cpd03063	3aib
cpd03065	tlhpro
cpd03073	25dahxnt
cpd03077	aamna
cpd03078	selnp
cpd03081	snmcclrn
cpd03083	rrtcln
cpd03087	dhsngnrn
cpd03091	dad_5
cpd03095	omthnnsln
cpd03102	phsdlnh
cpd03103	phsdln
cpd03104	3abutcoa
cpd03106	5aidzl
cpd03108	10hdhsngnrn
cpd03113	3hhdcoa
cpd03114	3ohdcoa
cpd03115	3htdcoa
cpd03116	3hddcoa
cpd03117	3oddcoa
cpd03118	3hdcoa
cpd03119	3odcoa
cpd03120	3hocoa
cpd03121	3oocoa
cpd03122	3hhcoa
cpd03123	3ohcoa
cpd03124	hxcoa
cpd03125	hx2coa
cpd03126	hdd2coa
cpd03127	td2coa
cpd03128	dcacoa
cpd03129	dc2coa
cpd03130	oc2coa
cpd03139	5bdhtstrn
cpd03148	chloropha
cpd03153	pmtn
cpd03158	nctmn
cpd03161	peamn
cpd03163	selmeth
cpd03164	dcholcoa
cpd03171	gdpormn
cpd03176	5HPET
cpd03178	4c2oxo3hex
cpd03183	3h2hp46dc
cpd03187	HC01434
cpd03189	HC01435
cpd03192	gdprmn
cpd03193	HC01440
cpd03194	lac6p
cpd03195	mlbtl
cpd03196	epmb
cpd03197	HC01444
cpd03198	melib
cpd03200	mantr
cpd03205	phytn
cpd03211	15phytn
cpd03214	phyldpp
cpd03216	nsprn
cpd03217	lcpn
cpd03220	gcrtn
cpd03221	zymst
cpd03223	etetnb
cpd03227	xol7ah3
cpd03228	xol7ah2al
cpd03231	CE5166
cpd03233	HC01459
cpd03234	xol7ah
cpd03236	xoldioloneh
cpd03238	xol7aone
cpd03244	tdechola
cpd03245	M01989
cpd03246	tdchola
cpd03247	dgchol
cpd03248	cholcoaone
cpd03250	45bdhcrtsn
cpd03252	C03682
cpd03254	M00039
cpd03256	5bprgnbdn
cpd03268	11docrtsl
cpd03279	din
cpd03280	5ud4imdzcxl
cpd03281	4a5ic
cpd03282	athr_L
cpd03284	3snpyr
cpd03285	spyr
cpd03287	oxag
cpd03289	acamoxm
cpd03290	M01036
cpd03291	6amd2ohxnt
cpd03292	peng
cpd03293	biocyt
cpd03295	dl2acdval
cpd03296	isopen
cpd03297	l2aadipad
cpd03299	hdn5ppnt
cpd03305	nananatmhis
cpd03306	34dhoxpeg
cpd03307	34dhmald
cpd03320	3hphac
cpd03326	2hh24dd
cpd03327	4h2kpi
cpd03331	plac
cpd03332	4hcnmylaldh
cpd03333	sinapaldh
cpd03335	3omglt
cpd03336	3clctcl
cpd03337	5hfrlt
cpd03340	itfln
cpd03342	4vnlphe
cpd03343	pppn
cpd03344	erdictl
cpd03349	5hxkynam
cpd03362	5hxkyn
cpd03363	2mhphdbnt
cpd03365	5bfe46dhp
cpd03366	5bce46dhp
cpd03370	5mtrptmn
cpd03372	hicit
cpd03375	3hpcoa
cpd03377	3apntrl
cpd03378	phnala
cpd03379	cmp2amep
cpd03384	crmdc
cpd03385	ppact
cpd03388	adsel
cpd03392	seasmet
cpd03393	seahcys
cpd03394	ggsemscys
cpd03395	3padsel
cpd03397	selhcys
cpd03398	selcyst
cpd03407	HC01577
cpd03411	gtspmd
cpd03413	gltml1p
cpd03414	HC01609
cpd03416	cpppg1
cpd03420	pre3a
cpd03421	cobya
cpd03422	cbi
cpd03423	rdmbzi
cpd03424	cbl3
cpd03426	scl
cpd03438	2hp6hphe
cpd03439	2hp6mphe
cpd03440	2hp6m14bqn
cpd03441	2hp3m6m14bqn
cpd03443	3ophb
cpd03444	2oph
cpd03445	2ohph
cpd03446	2omph
cpd03447	2ombz
cpd03448	2ommb
cpd03449	ocmhmxbq
cpd03451	2shchc
cpd03454	3cmp
cpd03455	mercplac
cpd03456	scys_L
cpd03457	2a5ohexnt
cpd03468	2coum
cpd03469	bdg2hc
cpd03470	iasp
cpd03471	nicrns
cpd03474	5lgt
cpd03477	vitKepox
cpd03480	2hyoxplac
cpd03481	phetha
cpd03485	acmam
cpd03487	uaaAgla
cpd03488	uaaAgtla
cpd03490	uGgl
cpd03491	uaaGgla
cpd03492	uaaGgtla
cpd03494	uagmda
cpd03495	uaagmda
cpd03496	uaagtmda
cpd03499	3mapgn
cpd03503	leucyan
cpd03504	lutfol
cpd03506	leudelphdn
cpd03517	btamp
cpd03518	HC01651
cpd03519	HC01652
cpd03521	dhpmp
cpd03524	10fthfglu_L
cpd03525	sucglu
cpd03526	sucgsa
cpd03527	nwharg
cpd03535	argp
cpd03555	15HPET
cpd03557	M00027
cpd03560	HC01668
cpd03561	2hb
cpd03571	lald
cpd03572	3hibutcoa
cpd03583	ab6p3hxl
cpd03584	u3hga
cpd03585	kdolipid4
cpd03586	kdo2lipid4
cpd03587	lipa
cpd03588	e3mmcoa
cpd03589	mescoa
cpd03591	moaa
cpd03596	4co4pnt
cpd03597	tyrsl
cpd03606	ohpb
cpd03607	phthr
cpd03608	4hthr
cpd03609	3ap12dn
cpd03613	pe_cer
cpd03638	lmn
cpd03640	6ohxnt
cpd03641	6hdxyhxnt
cpd03643	chxn12dn
cpd03644	fac
cpd03646	HC01700
cpd03648	4dadg4edgalur
cpd03656	ga2_hs
cpd03657	ga1_hs
cpd03659	gq1
cpd03660	gt1b_hs
cpd03661	gd1b_hs
cpd03662	btoh
cpd03663	3btnt
cpd03666	HC01710
cpd03671	gam1p
cpd03674	2dh2dofnt
cpd03675	sncclrn
cpd03676	scclrn
cpd03680	12dhrtclnm
cpd03682	npn
cpd03688	1mpyr
cpd03696	arbt
cpd03697	arbt6p
cpd03698	salc6p
cpd03699	c23bpglcrt
cpd03701	3gmp
cpd03702	23cgmp
cpd03703	4imidzln
cpd03704	dimp
cpd03706	up4g
cpd03707	C06199
cpd03708	24dhhed
cpd03709	sclaldh
cpd03710	tohbnpyr
cpd03715	2h6oh24dnt
cpd03718	chepts
cpd03719	chexs
cpd03720	cpnts
cpd03721	celtr
cpd03723	34dhstyrn
cpd03724	fecrm
cpd03725	fe3dcit
cpd03732	uacmamu
cpd03734	ad
cpd03736	kdo2lipid4L
cpd03738	dxyl
cpd03752	galt1p
cpd03753	lt6p
cpd03759	M00052
cpd03760	pre6b
cpd03761	pre6a
cpd03762	bz12diol
cpd03763	ch15dccoa
cpd03777	dhbsfnt
cpd03778	14bdc
cpd03779	2qlnl
cpd03780	256th56dhqln
cpd03787	ncclrn
cpd03789	cclrn
cpd03802	hspmd
cpd03805	2doxg6p
cpd03810	pthamd
cpd03811	samn
cpd03812	acgal6p
cpd03813	galam6p
cpd03816	mthd
cpd03817	ncamurea
cpd03818	namurea
cpd03819	hmthurea
cpd03823	2a2mmnt
cpd03824	2appnt
cpd03830	adphep_DD
cpd03831	adphep_LD
cpd03832	hgbyr
cpd03833	pre3b
cpd03834	pre4
cpd03835	pre8
cpd03839	pre5
cpd03846	octa
cpd03847	ttdca
cpd03848	arach
cpd03849	lnlncg
cpd03850	lnlnca
cpd03851	tmndnc
cpd03852	crvnc
cpd03861	xu1p_L
cpd03862	ngadabut
cpd03896	15anhfruc
cpd03897	thbpt4acam
cpd03913	hgbam
cpd03914	co2dam
cpd03915	co1dam
cpd03916	adcobdam
cpd03917	adcobhex
cpd03918	adocbi
cpd03919	adocbip
cpd03920	agdpcbi
cpd03927	somthnnsln
cpd03933	cnn
cpd03936	quin
cpd03951	ajmln
cpd03959	atrzn
cpd03960	hatrzn
cpd03961	nipamld
cpd03962	cnrt
cpd03963	brt
cpd03964	dipatrzn
cpd03965	diphatzn
cpd03967	deatrzn
cpd03968	dipdeatrzn
cpd03969	ilprpl
cpd03971	gstn
cpd03972	penn
cpd03985	pcmt
cpd03986	23d23dpcmt
cpd03988	2hcomd
cpd03989	2homd
cpd03990	4mcbiphe
cpd03991	23d23d4cbiphe
cpd03992	23dh4cbiphe
cpd03993	M00053
cpd03994	phebnzn
cpd03995	23d23dbiphe
cpd03997	epcplctm
cpd03998	tclbnzna
cpd04008	pthn
cpd04010	prxn
cpd04011	detpt
cpd04012	dept
cpd04015	t3clpol
cpd04016	cisclpol
cpd04017	t3claaldh
cpd04018	t3caclt
cpd04019	ais3claclt
cpd04020	ermcnc
cpd04021	dtnpodaglu
cpd04023	dtdpatdaglu
cpd04024	dtdp34d26dg
cpd04025	dtdpodaglu
cpd04026	dtdpodlglu
cpd04036	dtdpadsa
cpd04037	ermcnd
cpd04044	bis4cpac
cpd04045	bis4cpch4
cpd04049	M00074
cpd04050	clphedcp
cpd04056	ermcnb
cpd04058	ln2cearg
cpd04059	doamdpcmnt
cpd04060	amdpcmnt
cpd04061	pcmnt
cpd04062	dhcmnt
cpd04063	cmnt
cpd04073	vanlt
cpd04078	tln4s
cpd04080	4sbaldh
cpd04097	pb
cpd04098	aso3
cpd04099	ppn
cpd04101	dpcnl
cpd04103	3hpmlcoa
cpd04105	myctl
cpd04106	sfmyctl
cpd04107	dhpglnl
cpd04108	dh5mchdc
cpd04111	6chex2ecoa
cpd04114	cdhectcl
cpd04116	12d4mch35d1c
cpd04117	4mcat
cpd04118	dh6mc35dn
cpd04122	aacald
cpd04125	cpcmrt
cpd04126	hphebafn
cpd04127	napheamn
cpd04130	6hcheccoa
cpd04131	plcys
cpd04137	4mboh
cpd04138	pftln
cpd04139	2h5mmsaldh
cpd04140	2oxht4en
cpd04141	4h2ohxnt
cpd04242	d5kg
cpd04309	mclbnzn
cpd04326	natdmp5p
cpd04327	naoddmp5p
cpd04328	naodmp5p
cpd04358	strn
cpd04359	strncg
cpd04360	3vctcl
cpd04362	2hotnt
cpd04364	chmsaldh
cpd04367	dclbnzn
cpd04368	dcldhcd
cpd04370	25dcmucnt
cpd04382	tmxfn
cpd04383	ebnzn
cpd04385	abnzn
cpd04386	bnzac
cpd04393	2hood
cpd04399	13dmxnthn
cpd04447	3mbaldh
cpd04449	mtlt
cpd04451	2mboh
cpd04452	2mbaldh
cpd04453	2mbnzt
cpd04454	3mboh
cpd04490	lmno
cpd04491	prldn
cpd04495	lmnd
cpd04496	dtdpdf
cpd04509	rmndlmd
cpd04531	15ahgtl
cpd04536	cnls
cpd04539	amopbut_L
cpd04547	3hqn
cpd04553	3mthpb
cpd04653	37dmxthn
cpd04654	cfn
cpd04806	appmd
cpd04810	5fura
cpd04851	dpmth
cpd04864	dbnzfn
cpd04866	dbnzpd
cpd04867	thdphee
cpd04878	acphpnt
cpd04918	gmhep7p
cpd04920	gmhep1p
cpd05039	cbzl
cpd05040	abiphed
cpd05041	2hoaphd
cpd05196	docosac
cpd05215	cthn
cpd05231	doco13ac
cpd05235	lgnc
cpd05238	nrvnc
cpd05267	rib_D
cpd05433	gthmn
cpd05483	asdn
cpd05484	bttn
cpd05513	nxthn
cpd05521	vxthn
cpd05527	c3rslg
cpd05546	cyn
cpd05556	ilqrtgn
cpd05630	pgdnbdg
cpd05639	amld
cpd05640	2chatzn
cpd05727	24mcartnl
cpd06227	thfglu
cpd06476	mgnf
cpd06559	afrnsn
cpd06588	jh3
cpd06628	5dleuccyan
cpd06643	garbnzl
cpd06654	dhflvn
cpd06703	cych1e1cbxlcoa
cpd06704	2hcych1cbxlcoa
cpd06705	2xchccoa
cpd06707	bzam
cpd06708	bnzlsucc
cpd06710	phitcoa
cpd06711	hmpsuccoa
cpd06712	bnzlsuccoa
cpd06713	6kchccoa
cpd06716	26dhcychex1cbxlcoa
cpd06717	6ohchccoa
cpd06739	rcnl
cpd06996	mrctn
cpd07027	gcncn
cpd07097	ddzn
cpd07403	glcglycp
cpd07744	ecgon
cpd07830	cfaldh
cpd07859	4mabal
cpd07923	2do5hmc5dp
cpd07924	2do5hmc5tp
cpd07946	4hbutcoa
cpd08021	dmso
cpd08023	mso3
cpd08049	sn38
cpd08050	dpmipkp
cpd08112	chxne
cpd08133	fbnzn
cpd08208	hchpdnt
cpd08209	2hchd
cpd08210	4adcho
cpd08211	ttc_ggdp
cpd08230	sn38grnd
cpd08238	s37dmo6nl
cpd08259	3ip6ohnt
cpd08263	tcrvl
cpd08279	1hnpaldh
cpd08286	2me4p
cpd08287	4c2me
cpd08288	2p4c2me
cpd08289	dxyl5p
cpd08301	2mecdp
cpd08304	3hpppn
cpd08305	ctbt
cpd08306	butb
cpd08316	gmhep17bp
cpd08336	opeslfnt
cpd08338	s3sflact
cpd08350	t3hasp
cpd08353	aconm
cpd08355	2admasl3pg
cpd08358	udpsq
cpd08366	pslac
cpd08368	copre2
cpd08369	copre3
cpd08370	copre4
cpd08371	copre5
cpd08372	copre6
cpd08373	copre6b
cpd08375	copre8
cpd08400	4gnlcpmd
cpd08405	cechddd
cpd08434	odmmrctn
cpd08444	16evsmn
cpd08449	3a2opp
cpd08454	16htabson
cpd08486	16mtabson
cpd08510	10dacb
cpd08545	5fdouri
cpd08611	vnrn
cpd08612	12dvmln
cpd08613	17oanrjmln
cpd08614	nrjmln
cpd08615	h2mb4p
cpd08625	C11821
cpd08629	hmppp9mme
cpd08630	oxomppp9mme
cpd08631	dvprotochloroph
cpd08632	dvchlphyllide
cpd08636	dhptd
cpd08661	gbrlna9
cpd08662	gbrlna4
cpd08693	td5aol
cpd08695	td5a13ad
cpd08697	10dacdbb
cpd08701	mphze
cpd08702	dhmphze
cpd08707	dtdpodglu
cpd08708	dtdpatdglu
cpd08709	dtdpdsamn
cpd08712	dtdp3modglu
cpd08719	dtdpoddg
cpd08723	dtdpodoa
cpd08724	dtdpodman
cpd08726	perrcoa
cpd08729	M00083
cpd08731	2h4iphex1cbxlcoa
cpd08732	4sp2kchccoa
cpd08733	2ippcoa
cpd08734	1holmn
cpd08739	t2miphd
cpd08740	t2miphdnt
cpd08741	2miphdnt
cpd08746	3ipenlcoa
cpd08747	3ipent
cpd08748	cisipgn
cpd08752	amb2bagcn
cpd08753	ama2bagcn
cpd08760	amb1bagcn
cpd08761	ama1bagcn
cpd08768	amb2aagcn
cpd08769	ama2aagcn
cpd08776	amb1aagcn
cpd08777	ama1aagcn
cpd08790	10dmthnld
cpd08791	10dmthmcn
cpd08792	nmthmcn
cpd08793	mthmcn
cpd08794	nrbld
cpd08795	nrbmcn
cpd08796	pkrmcn
cpd08869	epntnt
cpd08876	nmanthcoa
cpd08906	apifrl
cpd08928	thrp
cpd08954	engthmn
cpd08984	5hcaldh
cpd08985	5hcoh
cpd08986	cfoh
cpd08992	ksmn6p
cpd08993	af6p
cpd09027	5hxudidzcba
cpd09095	35dhpaccoa
cpd09096	35dhpgoxlt
cpd09118	dortp
cpd09135	4dnpmcn
cpd09136	pmcn
cpd09168	nglnt
cpd09169	avktn
cpd09173	aklnnt
cpd09174	aklnntme
cpd09175	aklvktn
cpd09200	pecgon
cpd09203	3atrpn
cpd09204	aptrpn
cpd09206	5apntnl
cpd09252	3hcinnm
cpd09253	cenchddd
cpd09254	dhcinnm
cpd09255	hkntd
cpd09262	2hdhgstn
cpd09263	ltlnbddg
cpd09264	ommrctn
cpd09269	qrctn3mg
cpd09275	plr3r
cpd09276	plr3r5gpsd
cpd09277	c3rsd5bgsd
cpd09310	tclctcl
cpd09311	tclcdhchd
cpd09312	tclccmcnt
cpd09313	dclcmold
cpd09316	3cldhchdn
cpd09317	t4cmbol
cpd09349	acaadp
cpd09350	acaadpdp
cpd09351	acaadpsal
cpd09352	aclys
cpd09410	dmphqno
cpd09421	abdhthdp
cpd09433	cnxthn
cpd09434	cvxthn
cpd09444	pdmeam
cpd09461	xol24oh
cpd09480	12bishp4ppl
cpd09483	dhamstilb
cpd09576	pxthn
cpd09739	udpagalamnt
cpd09786	dhdhmnp
cpd09787	dh8mnp
cpd09789	2h3mbenzalpyr
cpd09790	3msalcald
cpd09791	3msaclt
cpd09792	1hmnp
cpd09793	1naldh
cpd09794	anpt
cpd09795	dhdh8cnp
cpd09798	2h3cbenzalpyr
cpd09799	3fsalc
cpd09800	hbdc
cpd09801	2mnptl
cpd09802	2naldh
cpd09804	bnpt
cpd09806	mcrea
cpd09807	cdhdhhmnp
cpd09808	dhhmnp
cpd09810	2h4hmbenzalpyr
cpd09811	2hhmbaldh
cpd09812	4hmsaclt
cpd09813	4hmcachl
cpd09818	np2msucc
cpd09819	np2msucccoa
cpd09820	napht2msucccoa
cpd09821	napht2hmsuccoa
cpd09823	2npthcoa
cpd09844	3hadpcoa
cpd09846	cpmemn
cpd09847	cpamln
cpd09848	cpamld
cpd09849	cpamn
cpd09878	sulfac
cpd09879	hmgth
cpd10162	3h3mop
cpd10301	3haphe
cpd10303	ahqn
cpd10483	npepox
cpd10490	gtnlhdhnp
cpd10515	fe2
cpd10516	fe3
cpd10527	gdpkldgals
cpd10548	C14851
cpd10596	3dhgulnp
cpd10719	crn_D
cpd11174	facald
cpd11175	indaccoa
cpd11177	CE1617
cpd11181	acact
cpd11198	xoltri24
cpd11204	edtlcn
cpd11206	pre1
cpd11209	Naccitr_L
cpd11210	4flthr
cpd11217	dhnacoa
cpd11225	db4p
cpd11231	2a5faprap
cpd11233	thiflvn
cpd11234	dh3oent
cpd11235	ochladnt
cpd11253	prnl
cpd11255	dhmtp
cpd11295	dkmpp
cpd11296	hkmpp
cpd11309	gacphprnt
cpd11313	hemeO
cpd11340	ggptrc
cpd11341	ggbutal
cpd11408	gg4abut
cpd11416	biomass
cpd11420	trdox
cpd11421	trdrd
cpd11425	2dmmq7
cpd11430	fa1
cpd11431	fa11
cpd11432	ihpdcoa
cpd11433	fa12
cpd11434	aihpdcoa
cpd11435	itdcoa
cpd11436	fa3
cpd11437	ipdcoa
cpd11438	fa4
cpd11439	aipdcoa
cpd11440	fa6
cpd11441	ihdcoa
cpd11451	mql7
cpd11459	tcam
cpd11464	butACP
cpd11465	but2eACP
cpd11466	myrsACP
cpd11467	tmrs2eACP
cpd11468	ddcaACP
cpd11469	2tddacp
cpd11470	ocACP
cpd11471	2toceacp
cpd11472	hexACP
cpd11473	2theacp
cpd11474	dcaACP
cpd11475	2tdeacp
cpd11476	palmACP
cpd11477	tpalm2eACP
cpd11478	3hbacp
cpd11479	3hhacp
cpd11480	3hddacp
cpd11481	3hpaacp
cpd11482	3hdeacp
cpd11483	3hocacp
cpd11484	3hmrsACP
cpd11485	3oxhdacp
cpd11486	3oxhacp
cpd11487	3oxdeacp
cpd11488	actACP
cpd11489	3oxddacp
cpd11490	3oxocacp
cpd11491	3oxtdacp
cpd11492	malACP
cpd11493	ACP
cpd11494	acACP
cpd11495	2mbutACP
cpd11496	4m3ohexACP
cpd11497	4m3hhexACP
cpd11498	4mthex2eACP
cpd11499	4mhexACP
cpd11500	6m3oocACP
cpd11501	6m3hocACP
cpd11502	6mtoct2eACP
cpd11503	6mocACP
cpd11504	8m3odcaACP
cpd11505	8m3hdcaACP
cpd11506	8mtdec2eACP
cpd11507	8mdcaACP
cpd11508	10m3oddcaACP
cpd11509	10m3hddcaACP
cpd11510	10mtddec2eACP
cpd11511	10mddcaACP
cpd11512	12m3omyrsACP
cpd11513	12m3hmyrsACP
cpd11514	12mtmrs2eACP
cpd11515	12mmyrsACP
cpd11516	14m3opalmACP
cpd11517	14m3hpalmACP
cpd11518	14mtpalm2eACP
cpd11519	14mpalmACP
cpd11520	3mbutACP
cpd11521	5m3ohexACP
cpd11522	5m3hhexACP
cpd11523	5mthex2eACP
cpd11524	5mhexACP
cpd11525	7m3oocACP
cpd11526	7m3hocACP
cpd11527	7mtoct2eACP
cpd11528	7mocACP
cpd11529	9m3odcaACP
cpd11530	9m3hdcaACP
cpd11531	9mtdec2eACP
cpd11532	9mdcaACP
cpd11533	11m3oddcaACP
cpd11534	11m3hddcaACP
cpd11535	11mtddec2eACP
cpd11536	11mddcaACP
cpd11537	13m3omyrsACP
cpd11538	13m3hmyrsACP
cpd11539	13mtmrs2eACP
cpd11540	13mmyrsACP
cpd11541	15m3opalmACP
cpd11542	15m3hpalmACP
cpd11543	15mtpalm2eACP
cpd11544	15mpalmACP
cpd11545	2mpropACP
cpd11546	4m3opentACP
cpd11547	4m3hpentACP
cpd11548	4mtpent2eACP
cpd11549	4mpentACP
cpd11550	6m3oheptACP
cpd11551	6m3hheptACP
cpd11552	6mthept2eACP
cpd11553	6mheptACP
cpd11554	8m3ononACP
cpd11555	8m3hnonACP
cpd11556	8mtnon2eACP
cpd11557	8mnonACP
cpd11558	10m3oundecACP
cpd11559	10m3hundecACP
cpd11560	10mtundec2eACP
cpd11561	10mundecACP
cpd11562	12m3otridecACP
cpd11563	12m3htridecACP
cpd11564	12mttritec2eACP
cpd11565	12mtridecACP
cpd11566	14m3opentdecACP
cpd11567	14m3hpentdecACP
cpd11568	14mtpentdec2eACP
cpd11569	14mpentdecACP
cpd11570	3ooctdecACP
cpd11571	3hoctdecACP
cpd11572	toctd2eACP
cpd11573	ocdcaACP
cpd11574	mobd
cpd11575	mops
cpd11576	metsox_R_L
cpd11578	hexs
cpd11579	ethso3
cpd11580	glygln
cpd11581	glyasn
cpd11582	alathr
cpd11583	alaleu
cpd11584	alahis
cpd11585	alagly
cpd11586	alaglu
cpd11587	alagln
cpd11588	glypro
cpd11589	glyasp
cpd11590	metala
cpd11591	glymet
cpd11592	glyglu
cpd11593	alaasp
cpd11594	dextrin
cpd11595	cro4
cpd11596	butso3
cpd11597	arsenb
cpd11606	mqn7
cpd11608	ptd
cpd11611	acoa
cpd11612	aa
cpd11616	aldh
cpd11619	doldp_L
cpd11620	fdxrd
cpd11621	fdxox
cpd11623	l2amna
cpd11625	2oc
cpd11636	amd
cpd11637	3oacoa
cpd11640	h2
cpd11653	lchnc
cpd11657	strch1
cpd11660	rch2nh2
cpd11665	q8h2
cpd11668	pncln
cpd11669	q8
cpd11673	damna
cpd11679	2oh
cpd11693	2oaldh
cpd11704	ptyr
cpd11706	bdgalsd
cpd11709	lcaldh
cpd11711	pglu
cpd11712	phis
cpd11714	namsmn
cpd11718	3hacoa
cpd11727	namsmn6p
cpd11733	ktn
cpd11734	glctl
cpd11735	14glucan
cpd11755	dnaadn
cpd11763	dnacsn
cpd11789	chlnpgn
cpd11794	bla1p
cpd11812	r3hacoa
cpd11816	acoac
cpd11818	pmonoe
cpd11819	opvoh
cpd11825	octeACP
cpd11827	phlofa
cpd11830	alpro
cpd11832	acoap
cpd11833	adprsl
cpd11835	2aasng3p
cpd11836	3haACP
cpd11848	roh
cpd11849	arthl
cpd11854	alds
cpd11888	apdalds
cpd11893	pdpthn
cpd11912	trnaglu
cpd11920	trna
cpd11937	gcgn
cpd11947	trnatpsic
cpd11948	trnaupsic
cpd11953	pdpthmd
cpd11959	lipp
cpd11973	dntd
cpd11974	gmnc
cpd11979	estrle
cpd11988	4hacd
cpd11999	dolmnt
cpd12000	dclt
cpd12005	lpro
cpd12009	ptdtrna
cpd12020	trpne
cpd12033	daktn
cpd12044	Ser_Gly_Ala_X_Gly
cpd12050	aslfnt
cpd12058	dptddna
cpd12064	oacrntn
cpd12072	prodthl
cpd12076	rsgth
cpd12113	ggcysngly
cpd12115	arabinan101
cpd12116	alfsd
cpd12117	bdmnsd
cpd12127	dap
cpd12139	prodslfd
cpd12147	s2ha
cpd12149	dagly
cpd12155	dgmlp
cpd12161	adggcgn
cpd12164	protrna
cpd12176	M00057
cpd12180	blarabsd
cpd12183	gpn
cpd12184	1asng
cpd12190	cmdlys
cpd12199	aclamna
cpd12205	M02645
cpd12221	2hc
cpd12223	dna5mtc
cpd12225	dhlpro
cpd12227	glutrna
cpd12230	naglsmn
cpd12232	nclsdp
cpd12236	plcitr
cpd12237	peptmet_L
cpd12241	bdglurd
cpd12271	5lgp
cpd12273	ak2g_hs
cpd12278	adap
cpd12286	n3agmnc
cpd12292	dnr
cpd12293	aamnae
cpd12298	5lgaa
cpd12322	M00512
cpd12344	rscys
cpd12353	lmaatrna
cpd12370	apoACP
cpd12371	dgaldagl
cpd12379	sacysso
