ARTFR202	h[m] + nadph[m] + 2.000000 fadh2[m] + lnlncacoa[c] 	->	nadp[m] + 2.000000 fad[m] + 1.125000 R2coa_hs[c] 
ARTFR203	h[m] + nadph[m] + 2.000000 fadh2[m] + lnlncgcoa[c] 	->	nadp[m] + 2.000000 fad[m] + 1.125000 R2coa_hs[c] 
ARTFR204	2.000000 h[m] + 2.000000 nadph[m] + 2.000000 fadh2[m] + strdnccoa[c] 	->	2.000000 nadp[m] + 2.000000 fad[m] + 1.125000 R2coa_hs[c] 
ARTFR209	2.000000 h[m] + 2.000000 nadph[m] + 2.000000 fadh2[m] + adrncoa[c] 	->	2.000000 nadp[m] + 2.000000 fad[m] + 1.375000 R2coa_hs[c] 
ARTFR210	h[m] + nadph[m] + fadh2[m] + lnlccoa[c] 	->	nadp[m] + fad[m] + 1.125000 R2coa_hs[c] 
ARTFR211	2.000000 h[m] + 2.000000 nadph[m] + 3.000000 fadh2[m] + clpndcoa[c] 	->	2.000000 nadp[m] + 3.000000 fad[m] + 1.375000 R2coa_hs[c] 
ARTFR212	2.000000 h[m] + 2.000000 nadph[m] + 3.000000 fadh2[m] + dcsptn1coa[c] 	->	2.000000 nadp[m] + 3.000000 fad[m] + 1.375000 R2coa_hs[c] 
ARTFR213	3.000000 h[m] + 3.000000 nadph[m] + 3.000000 fadh2[m] + c226coa[c] 	->	3.000000 nadp[m] + 3.000000 fad[m] + 1.375000 R2coa_hs[c] 
ARTFR41	fadh2[m] + hdcoa[c] 	->	fad[m] + R4coa_hs[c] 
ARTFR45	fadh2[m] + nrvnccoa[c] 	->	fad[m] + 1.500000 R4coa_hs[c] 
ARTFR52	hexccoa[c] 	->	1.625000 R5coa_hs[c] 
ARTFR53	2.000000 h[m] + 2.000000 nadph[m] + 2.000000 fadh2[m] + eicostetcoa[c] 	->	2.000000 nadp[m] + 2.000000 fad[m] + 1.250000 R5coa_hs[c] 
ARTFR61	fadh2[m] + hdd2coa[c] 	->	fad[m] + R6coa_hs[c] 
ARTPLM1	Rtotalcoa[c] 	->	pmtcoa[c] 
ARTPLM1m	Rtotalcoa[m] 	->	pmtcoa[m] 
ARTPLM2	Rtotal2coa[c] 	->	pmtcoa[c] 
ARTPLM2m	Rtotal2coa[m] 	->	pmtcoa[m] 
ARTPLM3	Rtotal3coa[c] 	->	pmtcoa[c] 
ASNS1	h2o[c] + atp[c] + asp_L[c] + gln_L[c] 	->	h[c] + glu_L[c] + amp[c] + ppi[c] + asn_L[c] 
ATP1ter	atp[c] + adp[r] 	<=>	adp[c] + atp[r] 
ATPasel	h2o[c] + atp[c] 	->	adp[c] + pi[c] + h[l] 
ATPH1e	2.000000 h2o[e] + atp[e] 	->	2.000000 h[e] + amp[e] + 2.000000 pi[e] 
ATPS4m	4.000000 h[c] + adp[m] + pi[m] 	->	3.000000 h[m] + h2o[m] + atp[m] 
BALAVECSEC	h2o[c] + atp[c] + ala_B[c] 	->	adp[c] + h[c] + pi[c] + ala_B[e] 
BAMPPALDOX	h2o[c] + bamppald[c] + nad[c] 	->	2.000000 h[c] + nadh[c] + ala_B[c] 
BILDGLCURte	h2o[c] + atp[c] + bildglcur[c] 	->	adp[c] + h[c] + pi[c] + bildglcur[e] 
BILGLCURte	h2o[c] + atp[c] + bilglcur[c] 	->	adp[c] + h[c] + pi[c] + bilglcur[e] 
BTNDm	h2o[m] + biocyt[m] 	->	lys_L[m] + btn[m] 
BTNt3i	h2o[c] + atp[c] + na1[e] + btn[e] 	->	adp[c] + h[c] + pi[c] + na1[c] + btn[c] 
BUP2	h2o[c] + 2.000000 h[c] + 3uib[c] 	->	nh4[c] + co2[c] + 3aib_D[c] 
CAATPS	h2o[c] + atp[c] + ca2[c] 	->	adp[c] + pi[c] + h[e] + ca2[e] 
CAMPt	h2o[c] + atp[c] + camp[c] 	->	adp[c] + h[c] + pi[c] + camp[e] 
CBPS	h2o[c] + 2.000000 atp[c] + hco3[c] + gln_L[c] 	->	2.000000 adp[c] + 2.000000 h[c] + pi[c] + glu_L[c] + cbp[c] 
